,Cuisine,BusinessId,Name,Address,Coordinates,URL,NumberOfReviews,Rating,ZipCode
0,italian,hdiuRS9sVZSMReZm4oV5SA,Da Andrea,"['35 W 13th St', 'New York, NY 10011']","{'latitude': 40.736218, 'longitude': -73.99597}",https://www.yelp.com/biz/da-andrea-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,1601,4.5,10011
1,italian,16ZnHpuaaBt92XWeJHCC5A,Olio e Più,"['3 Greenwich Ave', 'New York, NY 10014']","{'latitude': 40.733798036104304, 'longitude': -73.99977392649927}",https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,3696,4.5,10014
2,italian,DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,"['254 West 47th St', 'New York, NY 10036']","{'latitude': 40.759876, 'longitude': -73.986767}",https://www.yelp.com/biz/trattoria-trecolori-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,2558,4.0,10036
3,italian,WG639VkTjmK5dzydd1BBJA,Rubirosa,"['235 Mulberry St', 'New York, NY 10012']","{'latitude': 40.722766, 'longitude': -73.996233}",https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,2791,4.5,10012
4,italian,VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,"['106 E 60th St', 'New York, NY 10022']","{'latitude': 40.763174, 'longitude': -73.969046}",https://www.yelp.com/biz/piccola-cucina-uptown-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,235,4.5,10022
5,italian,rp8S7scxOkVVeG7dNneMGQ,L'Artusi,"['228 W 10th St', 'New York, NY 10014']","{'latitude': 40.73372, 'longitude': -74.00513}",https://www.yelp.com/biz/l-artusi-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,2153,4.5,10014
6,italian,22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,"['200 W 44th St', 'New York, NY 10036']","{'latitude': 40.75749848725768, 'longitude': -73.98665333142026}",https://www.yelp.com/biz/carmines-italian-restaurant-times-square-new-york-5?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,4252,4.0,10036
7,italian,JLpEKUYAtzBRQwsUL3RPIA,Il Corso,"['54 W 55th St', 'New York, NY 10019']","{'latitude': 40.762441, 'longitude': -73.977206}",https://www.yelp.com/biz/il-corso-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,405,4.5,10019
8,italian,OAqsZMbjv66nOMqlimnYuQ,Uva,"['1486 2nd Ave', 'New York, NY 10075']","{'latitude': 40.77219299003591, 'longitude': -73.95561517222123}",https://www.yelp.com/biz/uva-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,2632,4.0,10075
9,italian,OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,"['129 W 52nd St', 'New York, NY 10019']","{'latitude': 40.76189587672743, 'longitude': -73.9806749}",https://www.yelp.com/biz/osteria-la-baia-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,43,4.5,10019
10,italian,V3USzFEGhuoXez4G2Rk11A,Tavola,"['488 9th Ave', 'New York, NY 10018']","{'latitude': 40.755403, 'longitude': -73.994516}",https://www.yelp.com/biz/tavola-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,1176,4.0,10018
11,italian,5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,"['147 W 43rd St', 'New York, NY 10036']","{'latitude': 40.75641, 'longitude': -73.98547}",https://www.yelp.com/biz/tonys-di-napoli-new-york-4?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,2391,4.0,10036
12,italian,raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,"['88 Madison Ave', 'New York, NY 10016']","{'latitude': 40.744509, 'longitude': -73.9856}",https://www.yelp.com/biz/scarpetta-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,2165,4.0,10016
13,italian,HiNUBUR1hFwScd_OvVLQAg,La Pecora Bianca,"['1133 Broadway', 'New York, NY 10010']","{'latitude': 40.74358, 'longitude': -73.9892}",https://www.yelp.com/biz/la-pecora-bianca-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,926,4.0,10010
