,Cuisine,BusinessId
0,italian,hdiuRS9sVZSMReZm4oV5SA
1,italian,16ZnHpuaaBt92XWeJHCC5A
2,italian,DoSU8IPq-Py_YV3kYmXPfQ
3,italian,WG639VkTjmK5dzydd1BBJA
4,italian,VmdyRRMtUXOWV7F7w0ImwQ
5,italian,rp8S7scxOkVVeG7dNneMGQ
6,italian,22nKUyCIbpnzR6R3_g1ptQ
7,italian,JLpEKUYAtzBRQwsUL3RPIA
8,italian,OAqsZMbjv66nOMqlimnYuQ
9,italian,OWNmOq-TAsHjGcYdCVclSw
10,italian,V3USzFEGhuoXez4G2Rk11A
11,italian,5TX0X8w5ssIACU_pnBEq6g
12,italian,raqwXUBlnc0e8c7CYmxEJQ
13,italian,HiNUBUR1hFwScd_OvVLQAg
14,italian,OCTiJwvjoK81WoDwsTkFvA
15,italian,vjubSxmdG_HoBBgd39geBw
16,italian,qBGKigOGn_flCx1apxPzlA
17,italian,LXdblKc5g1Dp17xiV-Am1w
18,italian,lwfCl81r5a0mjxDNxNGC9w
19,italian,AUifp6IDKzmorCM6vY2fug
20,italian,h37t9rA06Sr4EetJjKrfzw
21,italian,MOwB9YYd-Ko6nVgSB-ltQw
22,italian,Vs8kQ4R381y27AH018gLpg
23,italian,Ve6GVzzJpR5QIIPdcn6ViQ
24,italian,mTWlEiCUEBlxBAkIikkB1A
25,italian,LkV96_buOU_n0br4SBO57w
26,italian,8oO6j7AlnAbMSJs9Oj9GIw
27,italian,pk89jzL1RsE9U0thf_z6tw
28,italian,dc3hkLkAqCSxDWQzrx-g9A
29,italian,k5fd-RSdG4IuXnnGSQ5oOw
30,italian,Rc1Ay4C2BgLBouuM92SAtQ
31,italian,z7H9ApIGopnDnQaglnPTzg
32,italian,KCBfW6sWl9Gx-LvMff08jg
33,italian,Q1_UvNyONsaVS_VC1mD9Dw
34,italian,jnHbdsqlTKlPcmJ8BCP9-g
35,italian,MphfKkYFEe0BDQ6hZ0A5fA
36,italian,Sp-vnk-waTvKblG_88M4TA
37,italian,hSpZSqElyjHTfE4lQJ97Cg
38,italian,IAbOg5Kd5AynOcbI8vGTwQ
39,italian,TqNd-LKHuoYo1_mYwqiBFQ
40,italian,yB4ziqFM_7V8JxJas7CHfA
41,italian,7_hGsGEkHrjgAiYVjrCFnw
42,italian,Zp-K3ztVTzR-LrWwl_CBgA
43,italian,7cjT33LfYSk7vrRdEaSr4w
44,italian,hkooeEkd3oPsLD6JJrYpjA
45,italian,J0OeDwmh5JBhid0A5GvltA
46,italian,HpxYBu1ARzOGvuUcLJe54g
47,italian,SCQ9B9jxqNHvJKQ-RagxaA
48,italian,jDIVPYpxQAk1HUAi0NIlQw
49,italian,yZJbealagfujEkgesAl2hA
50,italian,TWH4MjLtN1fKlF-7n6YXHg
51,italian,zwOAiVT4pAmpNGXzj-t5MA
52,italian,6eqrk1wCQMww_ejze5gvsg
53,italian,V-FCEicobl5Su-R7EVJQNA
54,italian,vVVmHacu2YAxKfpIjhfd1g
55,italian,IErfGS0DASSJfYU73m0Sqg
56,italian,TzVVPWK_4dhdSEpNqZwIhQ
57,italian,26emJlm1YMFyOCezfgVk4g
58,italian,dIyKvfhjtm3NuKrMVVt0TA
59,italian,wzHyRI6iW0rIY8rMb3KClA
60,italian,EDucGBSfQ0YIbxdHS-KnCg
61,italian,15k7iqFbhf4h8L01yggLqg
62,italian,GjEE8vvjqb7eeHA3BGNxAw
63,italian,zo4JHfD2nWPUiqgsgDOaHQ
64,italian,goqTQ4tOD-asC_ZJBW9l7w
65,italian,H5bhfR5sL0I2w1csjI1uMA
66,italian,gyWc5qJRvu26LVQIShdR4Q
67,italian,fuS39acPaRi38DhSSwEI4Q
68,italian,q3_FgDWWuXcVGiNuo_OPBQ
69,italian,syNFp2qrQtXfH4bskQVgaA
70,italian,tJxAlyeT5PRbUIyJ2wsv-A
